pathway,n_genes,n_below,expected_below,fold_enrichment,mean_rank_pct,perm_p,q_value,significant_fdr05
GO_BP:acetyl-CoA Metabolic Process (GO:0006084),16,4,1.4929040457530185,2.6793416572077184,43.65416767807075,0.055209447905520945,1.0,False
GO_BP:Negative Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),23,5,2.146049565769964,2.3298623106154075,43.334808922731156,0.055359446405535945,1.0,False
GO_BP:Cytosolic Pattern Recognition Receptor Signaling Pathway (GO:0002753),23,5,2.146049565769964,2.3298623106154075,38.15029453708409,0.05556944430555694,1.0,False
GO_BP:Male Meiosis I (GO:0007141),16,4,1.4929040457530185,2.6793416572077184,37.69341227470727,0.055809441905580945,1.0,False
GO_BP:Glial Cell Development (GO:0021782),23,5,2.146049565769964,2.3298623106154075,35.02951829286702,0.056329436705632945,1.0,False
GO_BP:Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575),23,5,2.146049565769964,2.3298623106154075,42.9795970036321,0.05682943170568294,1.0,False
GO_BP:Regulation Of Chromatin Organization (GO:1902275),23,5,2.146049565769964,2.3298623106154075,32.434617878684335,0.056869431305686946,1.0,False
GO_BP:Negative Regulation Of Lipid Biosynthetic Process (GO:0051055),23,5,2.146049565769964,2.3298623106154075,43.97300284737357,0.056939430605693946,1.0,False
GO_BP:Protein Localization To Centrosome (GO:0071539),16,4,1.4929040457530185,2.6793416572077184,37.46040905440158,0.05696943030569694,1.0,False
GO_BP:snRNA Processing (GO:0016180),16,4,1.4929040457530185,2.6793416572077184,31.76882163226513,0.05733942660573394,1.0,False
GO_BP:Negative Regulation Of Protein Localization To Membrane (GO:1905476),23,5,2.146049565769964,2.3298623106154075,37.24669301121887,0.05750942490575094,1.0,False
GO_BP:Translesion Synthesis (GO:0019985),23,5,2.146049565769964,2.3298623106154075,38.05382747811972,0.05754942450575494,1.0,False
GO_BP:Early Endosome To Late Endosome Transport (GO:0045022),23,5,2.146049565769964,2.3298623106154075,44.30723498979495,0.05765942340576594,1.0,False
